Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3548,100362 (3548),"9/30/2017 - 12/31/2017, Every day, Daily Average",1444,1094,1905
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3549,100093 (3549),"9/30/2017 - 12/31/2017, Every day, Daily Average",482,321,722
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3550,100182 (3550),"9/30/2017 - 12/31/2017, Every day, Daily Average",904,624,1308
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3551,100172 (3551),"9/30/2017 - 12/31/2017, Every day, Daily Average",803,591,1089
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3552,100363 (3552),"9/30/2017 - 12/31/2017, Every day, Daily Average",1507,1137,1996
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3553,100361 (3553),"9/30/2017 - 12/31/2017, Every day, Daily Average",1396,1040,1873
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3555,100222 (3555),"9/30/2017 - 12/31/2017, Every day, Daily Average",1088,774,1527
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3556,100173 (3556),"9/30/2017 - 12/31/2017, Every day, Daily Average",893,640,1244
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3557,100174 (3557),"9/30/2017 - 12/31/2017, Every day, Daily Average",907,666,1234
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3558,406981 (3558),"9/30/2017 - 12/31/2017, Every day, Daily Average",1266,881,1818
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3560,100177 (3560),"9/30/2017 - 12/31/2017, Every day, Daily Average",806,586,1107
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3561,100166 (3561),"9/30/2017 - 12/31/2017, Every day, Daily Average",859,606,1217
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3562,100365 (3562),"9/30/2017 - 12/31/2017, Every day, Daily Average",1508,1119,2032
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3563,100167 (3563),"9/30/2017 - 12/31/2017, Every day, Daily Average",865,618,1210
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3565,100175 (3565),"9/30/2017 - 12/31/2017, Every day, Daily Average",860,598,1236
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3566,100168 (3566),"9/30/2017 - 12/31/2017, Every day, Daily Average",918,664,1268
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3567,100178 (3567),"9/30/2017 - 12/31/2017, Every day, Daily Average",845,620,1151
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3569,100179 (3569),"9/30/2017 - 12/31/2017, Every day, Daily Average",925,659,1297
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3570,100164 (3570),"9/30/2017 - 12/31/2017, Every day, Daily Average",811,558,1178
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3571,100165 (3571),"9/30/2017 - 12/31/2017, Every day, Daily Average",770,509,1164
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3572,406780 (3572),"9/30/2017 - 12/31/2017, Every day, Daily Average",1549,1084,2212
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3573,100191 (3573),"9/30/2017 - 12/31/2017, Every day, Daily Average",886,598,1312
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3574,10017A (3574),"9/30/2017 - 12/31/2017, Every day, Daily Average",882,611,1272
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3576,10017B (3576),"9/30/2017 - 12/31/2017, Every day, Daily Average",857,591,1241
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3577,10017F (3577),"9/30/2017 - 12/31/2017, Every day, Daily Average",920,669,1264
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3578,100011 (3578),"9/30/2017 - 12/31/2017, Every day, Daily Average",805,568,1140
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3580,100184 (3580),"9/30/2017 - 12/31/2017, Every day, Daily Average",787,533,1160
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3581,10017E (3581),"9/30/2017 - 12/31/2017, Every day, Daily Average",952,697,1299
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3582,100101 (3582),"9/30/2017 - 12/31/2017, Every day, Daily Average",464,294,731
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3583,100012 (3583),"9/30/2017 - 12/31/2017, Every day, Daily Average",871,625,1211
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3584,100091 (3584),"9/30/2017 - 12/31/2017, Every day, Daily Average",758,514,1115
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3585,10017D (3585),"9/30/2017 - 12/31/2017, Every day, Daily Average",967,702,1330
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3586,100013 (3586),"9/30/2017 - 12/31/2017, Every day, Daily Average",903,661,1232
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3587,10017C (3587),"9/30/2017 - 12/31/2017, Every day, Daily Average",928,644,1337
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3588,406666 (3588),"9/30/2017 - 12/31/2017, Every day, Daily Average",1566,1220,2009
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3589,100192 (3589),"9/30/2017 - 12/31/2017, Every day, Daily Average",846,571,1252
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3590,100016 (3590),"9/30/2017 - 12/31/2017, Every day, Daily Average",926,668,1282
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3592,100223 (3592),"9/30/2017 - 12/31/2017, Every day, Daily Average",1050,738,1492
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3594,100352 (3594),"9/30/2017 - 12/31/2017, Every day, Daily Average",1124,806,1566
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3595,100193 (3595),"9/30/2017 - 12/31/2017, Every day, Daily Average",860,582,1269
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3596,100017 (3596),"9/30/2017 - 12/31/2017, Every day, Daily Average",961,690,1337
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3597,10001A (3597),"9/30/2017 - 12/31/2017, Every day, Daily Average",919,635,1329
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3598,100019 (3598),"9/30/2017 - 12/31/2017, Every day, Daily Average",940,655,1347
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3599,100014 (3599),"9/30/2017 - 12/31/2017, Every day, Daily Average",899,643,1256
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3600,100096 (3600),"9/30/2017 - 12/31/2017, Every day, Daily Average",735,502,1076
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3601,407010 (3601),"9/30/2017 - 12/31/2017, Every day, Daily Average",1514,1106,2071
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",3602,100015 (3602),"9/30/2017 - 12/31/2017, Every day, Daily Average",917,650,1291
